t_value,sigma_critical,abs_zeta_at_0.5,sigma_deviated,abs_zeta_at_0.51,gap_observed
14.1347,0.5,1.994138799158591e-05,0.51,0.007899556629504596,0.00787961524151301
21.022,0.5,4.506299993056974e-05,0.51,0.011300144293632236,0.011255081293701667
25.0109,0.5,5.818853712901374e-05,0.51,0.013623104649853767,0.013564916112724753
30.4249,0.5,3.113030034045801e-05,0.51,0.012937121240446475,0.012905990940106016
32.9351,0.5,5.309088026663415e-05,0.51,0.013707628376474025,0.01365453749620739
37.5862,0.5,4.2295515831226306e-05,0.51,0.019192901086107057,0.01915060557027583
40.9187,0.5,2.8339772336597838e-05,0.51,0.014767446187910522,0.014739106415573924
43.3271,0.5,4.899013718229938e-05,0.51,0.01815947192328906,0.01811048178610676
48.0052,0.5,7.701781768061286e-05,0.51,0.015521938014572814,0.015444920196892201
49.7738,0.5,4.6083144520188716e-05,0.51,0.014043555586496734,0.013997472441976546
